# This is a TEA pre-atmosphere input file.            
# TEA accepts a file in this format to produce species abundances as 
# a function of pressure and temperature.                            
# Output species must be added in the line immediately following the 
# FINDSPEC marker and must be named to match JANAF converted names. 

#FINDSPEC
H_g C_g N_g O_g H2_ref CO_g CH4_g H2O_g N2_ref NH3_g

#FINDTEA
    Radius   Pressure    Temp                H                C                N                O 
  2424.242 1.0000e+00 3054.55 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  2323.232 1.0000e+00 3093.94 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  2222.222 1.0000e+00 3133.33 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  2121.212 1.0000e+00 3172.73 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  2020.202 1.0000e+00 3212.12 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  1919.192 1.0000e+00 3251.52 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  1818.182 1.0000e+00 3290.91 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  1717.172 1.0000e+00 3330.30 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  1616.162 1.0000e+00 3369.70 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  1515.152 1.0000e+00 3409.09 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  1414.141 1.0000e+00 3448.48 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  1313.131 1.0000e+00 3487.88 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  1212.121 1.0000e+00 3527.27 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  1111.111 1.0000e+00 3566.67 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  1010.101 1.0000e+00 3606.06 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
   909.091 1.0000e+00 3645.45 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
   808.081 1.0000e+00 3684.85 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
   707.071 1.0000e+00 3724.24 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
   606.061 1.0000e+00 3763.64 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
   505.051 1.0000e+00 3803.03 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
   404.040 1.0000e+00 3842.42 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
   303.030 1.0000e+00 3881.82 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
   202.020 1.0000e+00 3921.21 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
   101.010 1.0000e+00 3960.61 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
     0.000 1.0000e+00 4000.00 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
